关键词,搜索量,在售商品数,近7天增长,近4周增长,转化率,季节基线,需求增速,供给增速,预估售价,成本,风险分,价格带,平台来源,竞争强度,市场体量,模拟类型,类目
静音自动喂食器爆款,22212,22165,19.4,54.5,5,17992,19.9,15.5,994,537,59.3,500-999,抖音电商,50.4,755,成长机会,母婴儿童
新款宠物烘干箱,59413,2095,60.7,56.9,5.7,42777,41.9,28.7,810,373,43.9,500-999,拼多多,27.6,2495,高机会,家居收纳
升级款恒温水壶,64642,122445,-3.6,8.4,3.5,72399,6.1,35.3,134,90,62.4,100-199,拼多多,71.4,3297,红海高竞争,个护健康
收纳型婴儿背带,48661,51552,23.1,33.3,5.1,54014,11.2,33.1,942,509,40.7,500-999,淘宝,49.8,1946,成长机会,数码车品
家用收纳推车,39005,16448,43.2,47.3,4.8,36665,29.4,5.8,1065,501,42.4,1000+,京东,66.4,1170,成长机会,户外运动
静音恒温水壶,15209,82716,21,-0.4,2.6,17642,4.9,12.7,1187,629,69.3,1000+,淘宝,45.7,426,普通观察,母婴儿童
防水旅行压缩袋,25879,1389,89.8,27.5,8.2,22515,67.5,19.2,966,377,33,500-999,拼多多,28.5,2044,高机会,个护健康
收纳型学习台灯爆款,11037,53757,18.6,18.2,2,9602,3.9,25.8,926,713,42.6,500-999,天猫,68,574,普通观察,小家电
新款除湿机,20236,18147,33.8,50.8,5.7,17808,22.6,6.3,651,404,31.1,500-999,拼多多,45.3,587,成长机会,个护健康
新款折叠椅,68917,15583,37.1,91.4,5.5,55823,56.6,27.8,711,391,43.7,500-999,天猫,18.6,3515,高机会,母婴儿童
智能沥水架,44687,248222,6,20.9,2.5,38431,22.8,36.3,164,125,58.2,100-199,拼多多,76.9,2190,红海高竞争,厨房用品
智能骑行眼镜套装,30471,4804,67.8,70.7,6.3,25596,37.2,27.8,767,407,39.3,500-999,天猫,27.4,1584,高机会,厨房用品
静音自动喂食器,93634,254907,17.7,25.5,1.8,101125,16,48.5,136,106,74.7,100-199,天猫,91.5,5993,红海高竞争,家居收纳
大容量自动喂食器,42626,13820,38.1,95.3,5.1,24723,32.1,6.5,939,310,31.2,500-999,抖音电商,44.1,1279,高机会,数码车品
可折叠保温杯爆款,28993,44577,34.8,19,6.1,27253,37.7,19,1015,538,45.5,1000+,拼多多,49.3,957,成长机会,数码车品
智能骑行眼镜,19948,56109,2.2,-0.7,2.7,17355,11.9,33.3,65,38,56.8,50-99,京东,46.9,1456,普通观察,个护健康
新款折叠椅,63107,78869,24.3,29.2,3.6,76991,11.7,24.4,160,126,74.3,100-199,天猫,77,4481,红海高竞争,户外运动
大容量折叠椅,57514,209991,-3.5,6.4,3.3,58089,3.5,67.4,653,438,89.1,500-999,抖音电商,76.4,3681,红海高竞争,母婴儿童
家用宠物烘干箱,37058,34145,33.4,34.5,5.8,34093,32.1,18.8,1129,779,39.4,1000+,拼多多,46.6,1186,成长机会,家居收纳
防水学习台灯,85776,75242,9.3,17.9,3.1,78914,21,36.7,953,781,79.6,500-999,抖音电商,82.7,2316,红海高竞争,厨房用品
新款露营灯,5109,25306,-4,9.7,4.7,4394,8.6,15.4,248,193,49.1,200-499,京东,65.6,184,普通观察,家居收纳
小户型旅行压缩袋爆款,73605,210951,17.2,32,3,90534,8.6,35.9,1263,1061,76.9,1000+,拼多多,82.1,5815,红海高竞争,户外运动
家用筋膜枪套装,61919,2163,52.4,98.7,6.7,48916,66.9,26.3,953,486,35.1,500-999,拼多多,40.2,1486,高机会,家居收纳
新款鞋盒,10297,17701,16.4,0.6,3.6,9988,-4.4,15.9,843,464,67.4,500-999,拼多多,53.9,402,普通观察,厨房用品
户外车载冰箱,7760,35170,-5.6,-2.5,2.6,7682,9.6,19.6,67,53,50.1,50-99,天猫,71.5,233,普通观察,母婴儿童
升级款折叠椅,22949,31590,4,10.1,4.8,22261,1.2,4.1,218,161,43.7,200-499,天猫,74.8,964,普通观察,数码车品
家用旅行压缩袋,43040,11740,69.3,46.5,5.1,37445,69.8,5.3,936,468,32.4,500-999,天猫,32.4,3099,高机会,厨房用品
小户型防晒衣,16398,17526,-8.9,20.3,3.9,16562,1.4,20.6,1112,589,69.6,1000+,拼多多,47.4,623,普通观察,厨房用品
家用防晒衣爆款,61223,4448,86,76.6,5,56325,54,27.9,756,265,20.8,500-999,京东,23.3,3551,高机会,家居收纳
家用车载冰箱,25809,23264,9.9,44.1,5.2,26583,38.1,23.6,378,189,33.1,200-499,拼多多,41.7,774,成长机会,母婴儿童
家用婴儿背带,87385,215977,21.5,11.4,3.4,101367,22.5,76.9,44,31,63.6,20-49,京东,93,6466,红海高竞争,数码车品
升级款骑行眼镜,14251,7997,17.9,23.1,3.5,13681,21.3,6.4,1280,576,54,1000+,天猫,56.8,470,成长机会,厨房用品
免安装收纳推车,96889,167552,1.9,17.5,3,80418,6,64.1,1257,918,90.9,1000+,拼多多,76.6,4166,红海高竞争,厨房用品
