id,sku,stat_date,impressions,clicks,ctr,orders,paid_orders,paid_amount,conversion_rate
1,SKU1001,2026-06-01,5200,188,0.0362,19,13,1677.00,0.0691
2,SKU1002,2026-06-02,8800,492,0.0559,45,39,3471.00,0.0793
3,SKU1003,2026-06-03,2600,47,0.0181,6,4,276.00,0.0851
4,SKU1004,2026-06-04,4100,16,0.0039,1,0,0.00,0.0000
5,SKU1005,2026-06-05,3900,132,0.0338,8,4,396.00,0.0303
6,SKU1006,2026-06-06,7100,268,0.0377,23,19,3781.00,0.0709
7,SKU1007,2026-06-07,12000,420,0.0350,36,30,4170.00,0.0714
8,SKU1008,2026-06-08,3300,18,0.0055,2,0,0.00,0.0000
9,SKU1009,2026-06-09,9400,28,0.0030,1,0,0.00,0.0000
10,SKU1010,2026-06-10,4500,156,0.0347,11,9,1341.00,0.0577
11,SKU1011,2026-06-11,18000,980,0.0544,90,82,3198.00,0.0837
12,SKU1012,2026-06-12,2100,112,0.0533,4,0,0.00,0.0000
13,SKU1001,2026-06-08,3800,121,0.0318,12,8,1032.00,0.0661
14,SKU1004,2026-06-11,5400,19,0.0035,1,0,0.00,0.0000
15,SKU1012,2026-06-14,6200,270,0.0435,7,0,0.00,0.0000
