sku_id,platform,sale_qty,sale_date
A001,douyin,18,2026-06-02
A001,douyin,20,2026-06-03
A001,douyin,23,2026-06-04
A001,douyin,21,2026-06-05
A001,douyin,25,2026-06-06
A001,douyin,26,2026-06-07
A001,douyin,28,2026-06-08
A001,douyin,30,2026-06-09
A001,douyin,31,2026-06-10
A001,douyin,34,2026-06-11
A001,douyin,36,2026-06-12
A001,douyin,35,2026-06-13
A001,douyin,38,2026-06-14
A001,douyin,40,2026-06-15
A002,douyin,24,2026-06-02
A002,douyin,25,2026-06-03
A002,douyin,26,2026-06-04
A002,douyin,24,2026-06-05
A002,douyin,27,2026-06-06
A002,douyin,26,2026-06-07
A002,douyin,29,2026-06-08
A002,douyin,30,2026-06-09
A002,douyin,31,2026-06-10
A002,douyin,29,2026-06-11
A002,douyin,32,2026-06-12
A002,douyin,31,2026-06-13
A002,douyin,30,2026-06-14
A002,douyin,33,2026-06-15
A003,taobao,9,2026-06-02
A003,taobao,8,2026-06-03
A003,taobao,12,2026-06-04
A003,taobao,10,2026-06-05
A003,taobao,11,2026-06-06
A003,taobao,13,2026-06-07
A003,taobao,12,2026-06-08
A003,taobao,14,2026-06-09
A003,taobao,15,2026-06-10
A003,taobao,14,2026-06-11
A003,taobao,16,2026-06-12
A003,taobao,15,2026-06-13
A003,taobao,16,2026-06-14
A003,taobao,17,2026-06-15
A004,douyin,7,2026-06-02
A004,douyin,8,2026-06-03
A004,douyin,9,2026-06-04
A004,douyin,10,2026-06-05
A004,douyin,11,2026-06-06
A004,douyin,12,2026-06-07
A004,douyin,13,2026-06-08
A004,douyin,14,2026-06-09
A004,douyin,16,2026-06-10
A004,douyin,17,2026-06-11
A004,douyin,18,2026-06-12
A004,douyin,20,2026-06-13
A004,douyin,22,2026-06-14
A004,douyin,24,2026-06-15
A005,taobao,16,2026-06-02
A005,taobao,15,2026-06-03
A005,taobao,17,2026-06-04
A005,taobao,16,2026-06-05
A005,taobao,18,2026-06-06
A005,taobao,17,2026-06-07
A005,taobao,19,2026-06-08
A005,taobao,18,2026-06-09
A005,taobao,20,2026-06-10
A005,taobao,19,2026-06-11
A005,taobao,21,2026-06-12
A005,taobao,20,2026-06-13
A005,taobao,19,2026-06-14
A005,taobao,22,2026-06-15
A006,taobao,5,2026-06-02
A006,taobao,4,2026-06-03
A006,taobao,6,2026-06-04
A006,taobao,5,2026-06-05
A006,taobao,5,2026-06-06
A006,taobao,6,2026-06-07
A006,taobao,7,2026-06-08
A006,taobao,5,2026-06-09
A006,taobao,6,2026-06-10
A006,taobao,7,2026-06-11
A006,taobao,5,2026-06-12
A006,taobao,6,2026-06-13
A006,taobao,5,2026-06-14
A006,taobao,6,2026-06-15
